,0
0,-1.2936812386970034
1,9.480990555107145
2,7.892735424360588
3,-1.6445380312631621
4,-0.959159256014995
5,1.3546227228053915
6,-0.6925650977516276
7,-6.249863176136891
8,-0.46246666299937855
9,2.2417390756095696
10,-0.9912593773354029
11,-1.5968989232117607
12,-0.08088807158480035
13,3.98605478778216
14,0.7601286054718628
15,30.9053656961646
16,-0.36442075385691375
17,3.818693427472451
18,0.00166580414190598
19,1.8316955811231113
20,1.4245614555720083
21,3.4169542658402983
22,23.83062103672125
23,1.783821802552992
24,-1.5925333871081035
25,-0.9804301469430039
26,2.463470757155598
27,1.0878206771919565
28,3.7937419127210292
29,-1.6200845706631808
30,5.313524724532435
31,2.27571568835494
32,-0.9621570332639635
33,-0.9218969411429381
34,-1.4084012801033556
35,3.6775379542788267
36,-1.268916025145617
37,-1.5154759223287821
38,1.407722220138794
39,1.7334822708857527
40,0.002972109962128049
41,2.5534585372377547
42,-0.6899408985586362
43,-1.6276956031720242
44,1.8853949902002967
45,2.408959647034922
46,-1.02172826300017
47,-0.6820898396843995
48,-1.5274379125604882
49,1.9873129642579679
50,0.858904254718567
51,10.794609877953182
52,-0.11803267224773167
53,-1.4097047289552203
54,-1.610331133244015
55,3.578244969487784
56,3.118372904993498
57,2.5858944994583895
58,-1.8966987191179694
59,-1.5247586275205873
60,3.979027081530089
61,-1.62023652151542
62,2.3188029606755896
63,68.25953268946017
64,-1.5760323000067662
65,2.754991673422671
66,3.9692290137741484
67,-0.5279943055415314
68,1.1313152414147076
69,3.9994521152330424
70,0.46168242835469986
71,18.300158295189718
72,0.3186201128400785
73,2.5290120833468817
74,2.0221436444599936
75,7.387535247818117
76,1.5397366953614402
77,0.4932573347528758
78,-1.2172941068352678
79,3.864869434603037
80,3.969902432715016
81,-1.5267400968846274
82,0.9422671842379167
83,0.5559592088077316
84,-8.591815658642087
85,0.8162590526918576
86,2.0154328288963272
87,0.8035433287720775
88,3.0903702182263575
89,3.976895419733381
90,-1.6160814192195827
91,3.7791123132010958
92,-0.6927642017752302
93,-1.6078349448200269
94,1.2207020002102367
95,1.0300835229824374
96,2.791885128146034
97,3.3967263914487704
98,-37.34327839460842
99,3.952944754313757
100,0.7887743330546133
101,0.08934801394775758
102,0.03452088047173224
103,1.754833060427411
104,-1.6389060675188085
105,-1.2276203799788146
106,1.6435448613416301
107,-0.7263418395383638
108,-1.2974761654572387
109,3.8869477456264034
110,1.9790847489136867
111,-1.607827575444904
112,-0.5554718352782002
113,-0.6729081197719031
114,2.159665916256349
115,-1.3480228197642183
116,10.819377344515672
117,2.380436966505262
118,52.84746422818476
119,-1.379382511157424
120,1.6947732808562908
121,3.6090682285052256
122,34.00101270072146
123,-1.3259277284622364
124,-0.33446659171761084
125,3.9608355224566667
126,1.6805274750148769
127,3.0676014284798807
128,3.3779130668237505
129,3.0480013531872423
130,1.1117742481815762
131,-1.6455419238388174
132,-1.6446265607993347
133,6.437899226850802
134,3.163948029801919
135,1.8369218965243137
136,19.51876236502074
137,3.940221670305279
138,-0.4334936162012637
139,3.475336334314865
140,-1.548478574213736
141,1.698088823552741
142,2.584129948083792
143,12.000830954527752
144,-1.107513445426001
145,16.603842873812997
146,2.1132403513425784
147,-0.39885557050849485
148,-1.3824068120002346
149,1.4612963732738378
150,4.90037199718833
151,14.208661644035628
152,-0.23317495756430695
153,19.52002737945795
154,-0.163648963510461
155,2.05748789258109
156,1.8464156726133147
157,-1.5711030832616029
158,4.3743587097490675
159,3.720591611056206
160,2.9803862496067453
161,-0.4937828670742517
162,-0.7408192510401415
163,3.925667406021444
164,3.3345299118991605
165,0.5602190399311054
166,0.27716281435030365
167,3.4875035780627996
168,44.74314881108138
169,-0.3693199181039972
170,2.6823683886470633
171,-0.8677365305040663
172,3.0482162192657576
173,-0.7624012805335862
174,3.4189997612558813
175,-7.8421305795469625
176,0.2674988460895284
177,3.5816350497209903
178,3.099334401098879
179,3.6324934918696097
180,0.004276638089603059
181,-0.678647777090978
182,-1.118678289485849
183,0.564067497810376
184,3.99774451731947
185,1.3952544068835309
186,3.6981153107291354
187,-0.7935650617550498
188,-1.354840914889874
189,17.58766221607053
190,-0.04806326360729418
191,3.996625461084313
192,-1.597216228559671
193,1.8095635235285545
194,0.14601420655990882
195,6.0244070006156
196,1.141978700550418
197,1.2059381242386227
198,2.327361659075532
199,3.999983560772728
200,2.320335417024071
201,-0.13454068237208583
202,0.2959944332573272
203,2.5600260746266463
204,2.4989361883396226
205,-1.2371459608662068
206,-0.8584502581464926
